BrazilRegion;PopulationRegion
Sao Paulo;46289333
Minas Gerais;21292666
Rio de Janeiro;17366189
Bahia;14930634
Parana;11516840
Rio Grande do Sul;11422973
Pernambuco;9616621
Ceara;9187103
Para;8690745
Santa Catarina;7252502
Maranhao;7114598
Goias;7113540
Amazonas;4207714
Espirito Santo;4064052
Paraiba;4039277
Rio Grande do Norte;3534165
Mato Grosso;3526220
Alagoas;3351543
Piaui;3281480
Distrito Federal;3055149
Mato Grosso do Sul;2809394
Sergipe;2318822
Rondonia;1796460
Tocantins;1590248
Acre;894470
Amapa;861773
Roraima;631181
